ID,Percentage,time_stamp
1519,8463678,2019-09-23 11:18:51
1520,8463678,2019-09-23 11:18:52
1521,8463678,2019-09-23 11:18:53
1522,8463678,2019-09-23 11:18:54
1523,8463678,2019-09-23 11:18:56
1524,8463678,2019-09-23 11:18:57
1525,8463678,2019-09-23 11:18:58
1526,8463678,2019-09-23 11:18:59
1527,8463678,2019-09-23 11:19:00
1528,8463678,2019-09-23 11:19:01
1529,8463678,2019-09-23 11:19:02
1530,8463678,2019-09-23 11:19:03
1531,8463678,2019-09-23 11:19:04
1532,8463678,2019-09-23 11:19:05
1533,8463678,2019-09-23 11:19:06
1534,8463678,2019-09-23 11:19:07
1535,8463678,2019-09-23 11:19:08
1536,8463678,2019-09-23 11:19:09
1537,8463678,2019-09-23 11:19:10
1538,8463678,2019-09-23 11:19:11
1539,8463678,2019-09-23 11:19:13
1540,8463678,2019-09-23 11:19:14
1541,8463678,2019-09-23 11:19:15
1542,8463678,2019-09-23 11:19:16
1543,8463678,2019-09-23 11:19:17
1544,8463678,2019-09-23 11:19:18
1545,8463678,2019-09-23 11:19:19
1546,8463678,2019-09-23 11:19:20
1547,8463678,2019-09-23 11:19:21
1548,8463678,2019-09-23 11:19:22
1549,8463678,2019-09-23 11:19:23
1550,8463678,2019-09-23 11:19:24
1551,8463678,2019-09-23 11:19:25
1552,8463678,2019-09-23 11:19:26
1553,8463678,2019-09-23 11:19:27
1554,8463678,2019-09-23 11:19:28
1555,8463678,2019-09-23 11:19:30
1556,8463678,2019-09-23 11:19:31
1557,8463678,2019-09-23 11:19:32
1558,8463678,2019-09-23 11:19:33
1559,8463678,2019-09-23 11:19:34
1560,8463678,2019-09-23 11:19:35
1561,8463678,2019-09-23 11:19:36
1562,8463678,2019-09-23 11:19:37
1563,8463678,2019-09-23 11:19:38
1564,8463678,2019-09-23 11:19:39
1565,8463678,2019-09-23 11:19:40
1566,8463678,2019-09-23 11:19:41
1567,8463678,2019-09-23 11:19:42
1568,8463678,2019-09-23 11:19:43
1569,8463678,2019-09-23 11:19:44
1570,8463678,2019-09-23 11:19:46
1571,8463678,2019-09-23 11:19:47
1572,8463678,2019-09-23 11:19:48
1573,8463678,2019-09-23 11:19:49
1574,8463678,2019-09-23 11:19:50
1575,8463678,2019-09-23 11:19:51
1576,8463678,2019-09-23 11:19:52
1577,8463678,2019-09-23 11:19:53
1578,8463678,2019-09-23 11:19:54
1579,8463678,2019-09-23 11:19:55
1580,8463678,2019-09-23 11:19:56
1581,8464050,2019-09-23 11:19:57
1582,8465880,2019-09-23 11:19:59
1583,8466112,2019-09-23 11:20:00
1584,8467749,2019-09-23 11:20:01
1585,8469919,2019-09-23 11:20:02
1586,8469919,2019-09-23 11:20:03
1587,8470623,2019-09-23 11:20:04
1588,8470623,2019-09-23 11:20:05
1589,8470623,2019-09-23 11:20:06
1590,8470623,2019-09-23 11:20:07
1591,8470623,2019-09-23 11:20:08
1592,8470679,2019-09-23 11:20:09
1593,8477629,2019-09-23 11:20:10
1594,8488094,2019-09-23 11:20:11
1595,8495661,2019-09-23 11:20:12
1596,8496601,2019-09-23 11:20:14
1597,8498812,2019-09-23 11:20:15
1598,8499849,2019-09-23 11:20:16
1599,8500126,2019-09-23 11:20:17
1600,8500356,2019-09-23 11:20:18
1601,8508748,2019-09-23 11:20:19
1602,8508748,2019-09-23 11:20:20
1603,8508748,2019-09-23 11:20:21
1604,8509092,2019-09-23 11:20:22
1605,8509148,2019-09-23 11:20:23
1606,8509204,2019-09-23 11:20:24
1607,8511080,2019-09-23 11:20:25
1608,8511592,2019-09-23 11:20:26
1609,8511592,2019-09-23 11:20:27
1610,8511704,2019-09-23 11:20:29
1611,8511704,2019-09-23 11:20:30
1612,8511760,2019-09-23 11:20:31
1613,8511872,2019-09-23 11:20:32
1614,8511928,2019-09-23 11:20:33
1615,8511984,2019-09-23 11:20:34
1616,8512040,2019-09-23 11:20:35
1617,8512096,2019-09-23 11:20:36
1618,8512152,2019-09-23 11:20:37
1619,8512208,2019-09-23 11:20:38
1620,8512264,2019-09-23 11:20:39
1621,8513764,2019-09-23 11:20:40
1622,8513820,2019-09-23 11:20:41
1623,8523128,2019-09-23 11:20:42
1624,8523184,2019-09-23 11:20:44
1625,8523240,2019-09-23 11:20:45
1626,8523296,2019-09-23 11:20:46
1627,8523573,2019-09-23 11:20:47
1628,8523629,2019-09-23 11:20:48
1629,8523685,2019-09-23 11:20:49
1630,8523741,2019-09-23 11:20:50
1631,8523741,2019-09-23 11:20:51
1632,8523741,2019-09-23 11:20:52
1633,8527028,2019-09-23 11:20:53
1634,8527224,2019-09-23 11:20:54
1635,8527224,2019-09-23 11:20:55
1636,8528156,2019-09-23 11:20:56
1637,8530383,2019-09-23 11:20:57
1638,8530439,2019-09-23 11:20:58
1639,8530495,2019-09-23 11:20:59
1640,8530691,2019-09-23 11:21:00
1641,8530747,2019-09-23 11:21:02
1642,8530803,2019-09-23 11:21:03
1643,8530991,2019-09-23 11:21:04
1644,8531047,2019-09-23 11:21:05
1645,8531047,2019-09-23 11:21:06
1646,8533965,2019-09-23 11:21:07
1647,8534161,2019-09-23 11:21:08
1648,8534217,2019-09-23 11:21:09
1649,8535523,2019-09-23 11:21:10
1650,8536726,2019-09-23 11:21:11
1651,8536782,2019-09-23 11:21:12
1652,8537012,2019-09-23 11:21:13
1653,8538127,2019-09-23 11:21:14
1654,8538183,2019-09-23 11:21:15
1655,8538460,2019-09-23 11:21:16
1656,8538516,2019-09-23 11:21:17
1657,8538572,2019-09-23 11:21:19
1658,8538628,2019-09-23 11:21:20
1659,8538858,2019-09-23 11:21:21
1660,8539258,2019-09-23 11:21:22
1661,8539314,2019-09-23 11:21:23
1662,8539954,2019-09-23 11:21:24
1663,8540010,2019-09-23 11:21:25
1664,8540132,2019-09-23 11:21:26
1665,8540254,2019-09-23 11:21:27
1666,8540310,2019-09-23 11:21:28
1667,8540366,2019-09-23 11:21:29
1668,8540422,2019-09-23 11:21:30
1669,8540478,2019-09-23 11:21:31
1670,8540534,2019-09-23 11:21:32
1671,8540590,2019-09-23 11:21:34
1672,8540646,2019-09-23 11:21:35
1673,8540702,2019-09-23 11:21:36
1674,8540870,2019-09-23 11:21:37
1675,8540992,2019-09-23 11:21:38
1676,8540992,2019-09-23 11:21:39
1677,8541048,2019-09-23 11:21:40
1678,8541104,2019-09-23 11:21:41
1679,8542898,2019-09-23 11:21:42
1680,8542954,2019-09-23 11:21:43
1681,8543010,2019-09-23 11:21:44
1682,8543458,2019-09-23 11:21:45
1683,8543847,2019-09-23 11:21:47
1684,8556260,2019-09-23 11:21:48
1685,8557685,2019-09-23 11:21:49
1686,8557741,2019-09-23 11:21:50
1687,8561167,2019-09-23 11:21:51
1688,8564474,2019-09-23 11:21:52
1689,8564530,2019-09-23 11:21:53
1690,8564586,2019-09-23 11:21:54
1691,8564698,2019-09-23 11:21:55
1692,8564810,2019-09-23 11:21:56
1693,8565376,2019-09-23 11:21:57
1694,8565600,2019-09-23 11:21:58
1695,8567081,2019-09-23 11:22:00
1696,8571078,2019-09-23 11:22:01
1697,8571134,2019-09-23 11:22:02
1698,8572318,2019-09-23 11:22:03
1699,8572374,2019-09-23 11:22:04
1700,8572374,2019-09-23 11:22:05
1701,8577283,2019-09-23 11:22:06
1702,8577283,2019-09-23 11:22:07
1703,8577283,2019-09-23 11:22:08
1704,8577732,2019-09-23 11:22:09
1705,8578708,2019-09-23 11:22:10
1706,8582352,2019-09-23 11:22:11
1707,8582640,2019-09-23 11:22:12
1708,8582696,2019-09-23 11:22:13
1709,8582752,2019-09-23 11:22:15
1710,8583150,2019-09-23 11:22:16
1711,8583483,2019-09-23 11:22:17
1712,8588649,2019-09-23 11:22:18
1713,8588649,2019-09-23 11:22:19
1714,8588649,2019-09-23 11:22:20
1715,8588649,2019-09-23 11:22:21
1716,8590474,2019-09-23 11:22:22
1717,8606415,2019-09-23 11:22:23
1718,8606471,2019-09-23 11:22:24
1719,8606639,2019-09-23 11:22:25
1720,8606751,2019-09-23 11:22:26
1721,8611075,2019-09-23 11:22:27
1722,8671383,2019-09-23 11:22:28
1723,8671439,2019-09-23 11:22:29
1724,8671495,2019-09-23 11:22:31
1725,8671495,2019-09-23 11:22:32
1726,8671551,2019-09-23 11:22:33
1727,8671607,2019-09-23 11:22:34
1728,8671663,2019-09-23 11:22:35
1729,8671719,2019-09-23 11:22:36
1730,8671775,2019-09-23 11:22:37
1731,8671831,2019-09-23 11:22:38
1732,8671887,2019-09-23 11:22:39
1733,8671999,2019-09-23 11:22:40
1734,8672111,2019-09-23 11:22:41
1735,8672279,2019-09-23 11:22:42
1736,8672447,2019-09-23 11:22:43
1737,8674435,2019-09-23 11:22:44
1738,8674547,2019-09-23 11:22:45
1739,8674880,2019-09-23 11:22:46
1740,8674992,2019-09-23 11:22:47
1741,8675104,2019-09-23 11:22:49
1742,8675272,2019-09-23 11:22:50
1743,8675440,2019-09-23 11:22:51
1744,8676109,2019-09-23 11:22:52
1745,8676277,2019-09-23 11:22:53
1746,8676333,2019-09-23 11:22:54
1747,8676445,2019-09-23 11:22:55
1748,8676557,2019-09-23 11:22:56
1749,8676725,2019-09-23 11:22:57
1750,8676837,2019-09-23 11:22:58
1751,8676949,2019-09-23 11:23:00
1752,8677173,2019-09-23 11:23:01
1753,8677341,2019-09-23 11:23:02
1754,8677453,2019-09-23 11:23:03
1755,8677509,2019-09-23 11:23:04
1756,8677565,2019-09-23 11:23:05
1757,8677677,2019-09-23 11:23:06
1758,8677733,2019-09-23 11:23:07
1759,8677789,2019-09-23 11:23:08
1760,8677845,2019-09-23 11:23:09
1761,8678069,2019-09-23 11:23:10
1762,8678181,2019-09-23 11:23:11
1763,8678303,2019-09-23 11:23:12
1764,8678601,2019-09-23 11:23:13
1765,8678657,2019-09-23 11:23:14
1766,8678713,2019-09-23 11:23:16
1767,8678990,2019-09-23 11:23:17
1768,8679102,2019-09-23 11:23:18
1769,8679214,2019-09-23 11:23:19
1770,8679326,2019-09-23 11:23:20
1771,8682521,2019-09-23 11:23:21
1772,8682921,2019-09-23 11:23:22
1773,8683033,2019-09-23 11:23:23
1774,8683089,2019-09-23 11:23:24
1775,8683145,2019-09-23 11:23:25
1776,8683201,2019-09-23 11:23:26
1777,8683257,2019-09-23 11:23:27
1778,8683369,2019-09-23 11:23:28
1779,8683547,2019-09-23 11:23:29
1780,8683659,2019-09-23 11:23:30
1781,8683715,2019-09-23 11:23:32
1782,8683771,2019-09-23 11:23:33
1783,8683827,2019-09-23 11:23:34
1784,8683883,2019-09-23 11:23:35
1785,8683939,2019-09-23 11:23:36
1786,8687078,2019-09-23 11:23:37
1787,8687246,2019-09-23 11:23:38
1788,8687358,2019-09-23 11:23:39
1789,8687414,2019-09-23 11:23:40
1790,8687470,2019-09-23 11:23:41
1791,8687526,2019-09-23 11:23:42
1792,8687582,2019-09-23 11:23:43
1793,8687638,2019-09-23 11:23:44
1794,8687694,2019-09-23 11:23:45
1795,8688027,2019-09-23 11:23:46
1796,8688139,2019-09-23 11:23:47
1797,8688251,2019-09-23 11:23:49
1798,8688307,2019-09-23 11:23:50
1799,8688721,2019-09-23 11:23:51
